,brewery_id,breweries,in_business,city,state,latitude,longitude,brewery_type,phone,website,beer_id,availability,beer_name,beer_style,abv,ibu,is_retired,master_style
14,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,BF1oAo,Year Round,Death By Hops,Imperial or Double India Pale Ale,7.0,108.0,N,IPA
15,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,YvJ01N,Year Round,Hefe-Weizen,South German-Style Hefeweizen / Hefeweissbier,4.5,10.0,N,Hefeweizen
16,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,Ob0m49,,Hickory Stick Stout,American-Style Stout,5.0,57.0,N,Stout
17,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,GTCtKv,Limited,Imperial Dominance,American-Style Imperial Stout,10.0,,N,Stout
18,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,r0y96l,Seasonal,Imperial Stout,American-Style Imperial Stout,10.5,,N,Stout
19,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,2CCEd7,Seasonal,Irish Walker,British-Style Barley Wine Ale,7.7,,N,Ale
20,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,NzKMU3,Limited,Lindley Park,American-Style Imperial Stout,10.0,,N,Stout
21,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,nIECYI,Limited,Nitro Death By Hops,American-Style India Pale Ale,7.0,,N,IPA
22,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,JDJ6aI,Seasonal,Oktoberfest Lager,German-Style Märzen,,,N,Other
23,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,lmgdVa,,Olde Rabbit's Foot,British-Style Imperial Stout,10.13,,N,Stout
24,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,RDvThU,Limited,Omega Point,American-Style Barley Wine Ale,10.0,,N,Ale
25,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,z0RGYi,,Peabody's Appalachian Ale,Specialty Beer,,,N,Other
26,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,TKgxGC,Year Round,Piedmont Pilsner,German-Style Pilsener,4.5,18.2,N,Other
27,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,SCXvJy,Limited,Redeemer,Imperial or Double India Pale Ale,10.0,,N,IPA
28,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,nYkcKF,Year Round,Ruby Lager,American-Style Premium Lager,4.0,20.0,N,Lager
29,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,e9U5BU,Limited,Saison Revolution,French & Belgian-Style Saison,8.5,,N,Saison
30,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,5z4gmS,,Seven Devils,Scotch Ale,8.0,48.0,N,Ale
31,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,wbaBrw,Year Round,Southern Cross,American-Style Pilsener,,,N,Other
32,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,5ePlPd,Year Round,Table Rock Pale Ale,American-Style Pale Ale,5.5,50.0,N,Pale Ale
33,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,4WGjTP,Limited,The Bean,American-Style Stout,,,N,Stout
34,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,U69UNh,Limited,The Event Horizon,American-Style Imperial Stout,8.5,,N,Stout
35,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,502JT6,,Wake Up Bitter,American-Style India Pale Ale,7.0,,N,IPA
36,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,I6WI9k,Limited,Wavell Gunn,Scotch Ale,8.5,,N,Ale
37,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,hy8ZZ4,Year Round,Weizen-Bock,South German-Style Weizenbock / Weissbock,,,N,Other
38,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,1ETVSD,,Wheat Wine,American-Style Wheat Wine Ale,9.1,18.0,N,Ale
39,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,0NbUwv,Year Round,Wilson Creek E.S.B.,Extra Special Bitter,,,N,Other
40,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,SgJVJf,Limited,Bee Student,Specialty Honey Lager or Ale,,,N,Ale
41,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,SlOBl2,Seasonal,Bestway IPA,American-Style India Pale Ale,,,N,IPA
42,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,JdTvly,,Black Hearted,German-Style Schwarzbier,,,N,Other
43,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,gvjgyk,Year Round,Black Raven IPA,Specialty Beer,7.0,,N,Other
44,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,KHrNiV,Year Round,Brown Mountain Light,Golden or Blonde Ale,,16.35,N,Ale
45,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,vxCjvP,,Calico Jack,American-Style Imperial Stout,9.5,,N,Stout
46,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,hJl7cX,,Carolus Magnus,Belgian-Style Quadrupel,14.0,,N,Other
47,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,eVv2mY,Winter,Christmas Ale,Herb and Spice Beer,5.5,,N,Other
48,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,E2rt0n,,Cubano Walker,American-Style Barley Wine Ale,10.0,,N,Ale
49,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,qMahAE,Limited,Cuvée de Reinke,Belgian-Style Blonde Ale,8.5,,N,Ale
50,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,hd3pTg,,Daniel Boone,American-Style Brown Ale,8.5,,N,Ale
51,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,BF1oAo,Year Round,Death By Hops,Imperial or Double India Pale Ale,7.0,108.0,N,IPA
52,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,YvJ01N,Year Round,Hefe-Weizen,South German-Style Hefeweizen / Hefeweissbier,4.5,10.0,N,Hefeweizen
53,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,Ob0m49,,Hickory Stick Stout,American-Style Stout,5.0,57.0,N,Stout
54,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,GTCtKv,Limited,Imperial Dominance,American-Style Imperial Stout,10.0,,N,Stout
55,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,r0y96l,Seasonal,Imperial Stout,American-Style Imperial Stout,10.5,,N,Stout
56,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,2CCEd7,Seasonal,Irish Walker,British-Style Barley Wine Ale,7.7,,N,Ale
57,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,NzKMU3,Limited,Lindley Park,American-Style Imperial Stout,10.0,,N,Stout
58,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,nIECYI,Limited,Nitro Death By Hops,American-Style India Pale Ale,7.0,,N,IPA
59,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,JDJ6aI,Seasonal,Oktoberfest Lager,German-Style Märzen,,,N,Other
60,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,lmgdVa,,Olde Rabbit's Foot,British-Style Imperial Stout,10.13,,N,Stout
61,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,RDvThU,Limited,Omega Point,American-Style Barley Wine Ale,10.0,,N,Ale
62,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,z0RGYi,,Peabody's Appalachian Ale,Specialty Beer,,,N,Other
63,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,TKgxGC,Year Round,Piedmont Pilsner,German-Style Pilsener,4.5,18.2,N,Other
64,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,SCXvJy,Limited,Redeemer,Imperial or Double India Pale Ale,10.0,,N,IPA
65,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,nYkcKF,Year Round,Ruby Lager,American-Style Premium Lager,4.0,20.0,N,Lager
66,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,e9U5BU,Limited,Saison Revolution,French & Belgian-Style Saison,8.5,,N,Saison
67,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,5z4gmS,,Seven Devils,Scotch Ale,8.0,48.0,N,Ale
68,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,wbaBrw,Year Round,Southern Cross,American-Style Pilsener,,,N,Other
69,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,5ePlPd,Year Round,Table Rock Pale Ale,American-Style Pale Ale,5.5,50.0,N,Pale Ale
70,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,4WGjTP,Limited,The Bean,American-Style Stout,,,N,Stout
71,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,U69UNh,Limited,The Event Horizon,American-Style Imperial Stout,8.5,,N,Stout
72,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,502JT6,,Wake Up Bitter,American-Style India Pale Ale,7.0,,N,IPA
73,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,I6WI9k,Limited,Wavell Gunn,Scotch Ale,8.5,,N,Ale
74,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,hy8ZZ4,Year Round,Weizen-Bock,South German-Style Weizenbock / Weissbock,,,N,Other
75,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,1ETVSD,,Wheat Wine,American-Style Wheat Wine Ale,9.1,18.0,N,Ale
76,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.732019,-81.34044300000001,Restaurant/Ale House,828.322.1965,http://www.oldehickorytaproom.com/,0NbUwv,Year Round,Wilson Creek E.S.B.,Extra Special Bitter,,,N,Other
77,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,SgJVJf,Limited,Bee Student,Specialty Honey Lager or Ale,,,N,Ale
78,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,SlOBl2,Seasonal,Bestway IPA,American-Style India Pale Ale,,,N,IPA
79,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,JdTvly,,Black Hearted,German-Style Schwarzbier,,,N,Other
80,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,gvjgyk,Year Round,Black Raven IPA,Specialty Beer,7.0,,N,Other
81,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,KHrNiV,Year Round,Brown Mountain Light,Golden or Blonde Ale,,16.35,N,Ale
82,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,vxCjvP,,Calico Jack,American-Style Imperial Stout,9.5,,N,Stout
83,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,hJl7cX,,Carolus Magnus,Belgian-Style Quadrupel,14.0,,N,Other
84,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,eVv2mY,Winter,Christmas Ale,Herb and Spice Beer,5.5,,N,Other
85,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,E2rt0n,,Cubano Walker,American-Style Barley Wine Ale,10.0,,N,Ale
86,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,qMahAE,Limited,Cuvée de Reinke,Belgian-Style Blonde Ale,8.5,,N,Ale
87,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,hd3pTg,,Daniel Boone,American-Style Brown Ale,8.5,,N,Ale
88,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,BF1oAo,Year Round,Death By Hops,Imperial or Double India Pale Ale,7.0,108.0,N,IPA
89,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,YvJ01N,Year Round,Hefe-Weizen,South German-Style Hefeweizen / Hefeweissbier,4.5,10.0,N,Hefeweizen
90,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,Ob0m49,,Hickory Stick Stout,American-Style Stout,5.0,57.0,N,Stout
91,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,GTCtKv,Limited,Imperial Dominance,American-Style Imperial Stout,10.0,,N,Stout
92,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,r0y96l,Seasonal,Imperial Stout,American-Style Imperial Stout,10.5,,N,Stout
93,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,2CCEd7,Seasonal,Irish Walker,British-Style Barley Wine Ale,7.7,,N,Ale
94,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,NzKMU3,Limited,Lindley Park,American-Style Imperial Stout,10.0,,N,Stout
95,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,nIECYI,Limited,Nitro Death By Hops,American-Style India Pale Ale,7.0,,N,IPA
96,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,JDJ6aI,Seasonal,Oktoberfest Lager,German-Style Märzen,,,N,Other
97,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,lmgdVa,,Olde Rabbit's Foot,British-Style Imperial Stout,10.13,,N,Stout
98,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,RDvThU,Limited,Omega Point,American-Style Barley Wine Ale,10.0,,N,Ale
99,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,z0RGYi,,Peabody's Appalachian Ale,Specialty Beer,,,N,Other
100,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,TKgxGC,Year Round,Piedmont Pilsner,German-Style Pilsener,4.5,18.2,N,Other
101,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,SCXvJy,Limited,Redeemer,Imperial or Double India Pale Ale,10.0,,N,IPA
102,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,nYkcKF,Year Round,Ruby Lager,American-Style Premium Lager,4.0,20.0,N,Lager
103,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,e9U5BU,Limited,Saison Revolution,French & Belgian-Style Saison,8.5,,N,Saison
104,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,5z4gmS,,Seven Devils,Scotch Ale,8.0,48.0,N,Ale
105,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,wbaBrw,Year Round,Southern Cross,American-Style Pilsener,,,N,Other
106,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,5ePlPd,Year Round,Table Rock Pale Ale,American-Style Pale Ale,5.5,50.0,N,Pale Ale
107,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,4WGjTP,Limited,The Bean,American-Style Stout,,,N,Stout
108,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,U69UNh,Limited,The Event Horizon,American-Style Imperial Stout,8.5,,N,Stout
109,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,502JT6,,Wake Up Bitter,American-Style India Pale Ale,7.0,,N,IPA
110,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,I6WI9k,Limited,Wavell Gunn,Scotch Ale,8.5,,N,Ale
111,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,hy8ZZ4,Year Round,Weizen-Bock,South German-Style Weizenbock / Weissbock,,,N,Other
112,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,1ETVSD,,Wheat Wine,American-Style Wheat Wine Ale,9.1,18.0,N,Ale
113,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.731722,-81.341977,Production Facility,(828) 322-1422,,0NbUwv,Year Round,Wilson Creek E.S.B.,Extra Special Bitter,,,N,Other
114,SYkdNz,Andrews Brewing Company,Y,Andrews,North Carolina,35.199271,-83.812814,Nano Brewery,(828) 321-2006,http://www.andrewsbrewing.com/,gI6qhC,,Arrowhead Red IPA,American-Style Amber/Red Ale,7.2,73.0,N,Ale
115,SYkdNz,Andrews Brewing Company,Y,Andrews,North Carolina,35.199271,-83.812814,Nano Brewery,(828) 321-2006,http://www.andrewsbrewing.com/,pKwQEt,Year Round,Happy Top Wheat,American-Style Wheat Beer,4.8,21.0,N,Wheat Beer
116,SYkdNz,Andrews Brewing Company,Y,Andrews,North Carolina,35.199271,-83.812814,Nano Brewery,(828) 321-2006,http://www.andrewsbrewing.com/,RefEOK,,Leatherwood Red,American-Style Amber/Red Ale,5.6,38.0,N,Ale
117,SYkdNz,Andrews Brewing Company,Y,Andrews,North Carolina,35.199271,-83.812814,Nano Brewery,(828) 321-2006,http://www.andrewsbrewing.com/,3yO2Xl,,Wildcat Pale Ale,American-Style Pale Ale,6.2,78.0,N,Pale Ale
118,Cwhr9F,Archetype Brewing Company,Y,Asheville,North Carolina,35.6005152,-82.5549742,Micro Brewery,(828) 505-8305,https://www.archetypebrewing.com/,7F3PYd,,Commitment Phobia,Session India Pale Ale,5.5,40.0,N,IPA
119,Cwhr9F,Archetype Brewing Company,Y,Asheville,North Carolina,35.6005152,-82.5549742,Micro Brewery,(828) 505-8305,https://www.archetypebrewing.com/,jYmDi4,,Cowboy Poet,American-Style Lager,4.8,15.0,N,Lager
120,Cwhr9F,Archetype Brewing Company,Y,Asheville,North Carolina,35.6005152,-82.5549742,Micro Brewery,(828) 505-8305,https://www.archetypebrewing.com/,Spq5dP,,Dry Stout,Classic Irish-Style Dry Stout,,,N,Stout
