brewery,beer_name,beer_style,availability,abv,master_style
Sierra Nevada Brewing Co.,3 Weight,Session India Pale Ale,,4.0,IPA
Sierra Nevada Brewing Co.,30th Anniversary - Grand Cru,Other Strong Ale or Lager,,9.2,Lager
Sierra Nevada Brewing Co.,35th Anniversary  - Brewer's Reserve,Strong Ale,,8.0,Ale
Sierra Nevada Brewing Co.,40th Hoppy Anniversary Ale,American-Style India Pale Ale,Seasonal,6.0,IPA
Sierra Nevada Brewing Co.,ABLE Best Britter,Special Bitter or Best Bitter,Limited,4.3,Other
Sierra Nevada Brewing Co.,Ale 20,American-Style Pale Ale,,5.7,Pale Ale
Sierra Nevada Brewing Co.,Alt Route - Beer Camp Across America,German-Style Altbier,Limited,6.6,Other
Sierra Nevada Brewing Co.,Anniversary Ale,American-Style India Pale Ale,,5.9,IPA
Sierra Nevada Brewing Co.,Audition - Altbier,German-Style Altbier,,6.6,Other
Sierra Nevada Brewing Co.,Audition - Belgian-Style Blonde,Belgian-Style Blonde Ale,,6.3,Ale
Sierra Nevada Brewing Co.,Audition - Belgian-Style Pale Ale,Belgian-Style Pale Ale,,5.3,Pale Ale
Sierra Nevada Brewing Co.,Audition - Dark Ale,American-Belgo-Style Ale,,8.5,Ale
Sierra Nevada Brewing Co.,Audition - Double IPA,Imperial or Double India Pale Ale,,8.5,IPA
Sierra Nevada Brewing Co.,Audition - English-Style Bitter,Ordinary Bitter,,5.6,Other
Sierra Nevada Brewing Co.,Audition - Imperial Pilsner,American-Style Pilsener,,8.0,Other
Sierra Nevada Brewing Co.,Audition - Pale Ale,American-Style Pale Ale,,6.5,Pale Ale
Sierra Nevada Brewing Co.,Audition - Pilsner,American-Style Pilsener,,5.2,Other
Sierra Nevada Brewing Co.,Audition - Rye Bock,Rye Ale or Lager with or without Yeast,,7.2,Other
Sierra Nevada Brewing Co.,Audition - Scotch Ale,Scotch Ale,,7.3,Ale
Sierra Nevada Brewing Co.,Bad Luck Blonde,Golden or Blonde Ale,,6.5,Ale
Sierra Nevada Brewing Co.,Baltic Joy,Baltic-Style Porter,,7.4,Porter
Sierra Nevada Brewing Co.,Barrel Aged Narwhal,American-Style Imperial Stout,,12.9,Stout
Sierra Nevada Brewing Co.,Barrel-Aged Bigfoot (Whiskey Barrels),American-Style Barley Wine Ale,Seasonal,11.9,Ale
Sierra Nevada Brewing Co.,Barrel-Aged Hoptimum  (Trip in the Woods),American-Style India Pale Ale,,11.5,IPA
Sierra Nevada Brewing Co.,Barrel-Aged Porter,Wood- and Barrel-Aged Beer,,7.4,Other
Sierra Nevada Brewing Co.,Barrel-Aged Torpedo Extra IPA,American-Style India Pale Ale,,8.5,IPA
Sierra Nevada Brewing Co.,Beer Camp,American-Style India Pale Ale,,6.5,IPA
Sierra Nevada Brewing Co.,Beer Camp 013: Old Cantankerous,Old Ale,,6.6,Ale
Sierra Nevada Brewing Co.,Beer Camp 257,Imperial or Double India Pale Ale,Seasonal,9.7,IPA
Sierra Nevada Brewing Co.,Beer Camp Across America,Imperial or Double India Pale Ale,Limited,8.6,IPA
Sierra Nevada Brewing Co.,Beer Camp Golden IPA,American-Style India Pale Ale,,6.5,IPA
Sierra Nevada Brewing Co.,Beer Camp Hoppy Lager,American-Style Lager,Year Round,7.0,Lager
Sierra Nevada Brewing Co.,Beer Camp Tropical IPA,American-Style India Pale Ale,Limited,6.7,IPA
Sierra Nevada Brewing Co.,Beer Camp: Campout Porter,Brown Porter,Limited,7.7,Porter
Sierra Nevada Brewing Co.,Beer Camp: Dunkle Weisse,South German-Style Dunkel Weizen / Dunkel Weissbier,Limited,5.7,Other
Sierra Nevada Brewing Co.,Beer Camp: East Meets West IPA,American-Style India Pale Ale,Limited,7.0,IPA
Sierra Nevada Brewing Co.,Beer Camp: Ginger Lager,American-Style Lager,Limited,6.2,Lager
Sierra Nevada Brewing Co.,Beer Camp: Raspberry Sundae Ale,Herb and Spice Beer,Limited,8.0,Other
Sierra Nevada Brewing Co.,Beer Camp: Stout of the Union,American-Style Stout,,7.0,Stout
Sierra Nevada Brewing Co.,Beer Camp: West Coast DIPA,Imperial or Double India Pale Ale,Limited,8.2,IPA
Sierra Nevada Brewing Co.,Belgian Black IPA - Beer Camp #94,Belgian-Style Pale Ale,,7.7,Pale Ale
Sierra Nevada Brewing Co.,Belgian-Style Blonde IPA,Belgian-Style Blonde Ale,,7.5,Ale
Sierra Nevada Brewing Co.,BFD - Beer For Drinking,Golden or Blonde Ale,,4.8,Ale
Sierra Nevada Brewing Co.,Bigfoot,American-Style Barley Wine Ale,,9.6,Ale
Sierra Nevada Brewing Co.,Bigfoot Barrel-Aged,American-Style Barley Wine Ale,,12.2,Ale
Sierra Nevada Brewing Co.,Black Eye PA,American-Style Black Ale,,7.5,Ale
Sierra Nevada Brewing Co.,Black IPA,American-Style India Pale Ale,,6.9,IPA
Sierra Nevada Brewing Co.,Black Vapor,German-Style Schwarzbier,,6.0,Other
Sierra Nevada Brewing Co.,Blantons Barrel Aged Scotch Ale,Scotch Ale,,11.3,Ale
Sierra Nevada Brewing Co.,Blindfold,American-Style Black Ale,Limited,7.4,Ale
Sierra Nevada Brewing Co.,Blizzicane Bock,Traditional German-Style Bock,,7.7,Other
Sierra Nevada Brewing Co.,Blood Shot,Imperial Red Ale,,8.6,Ale
Sierra Nevada Brewing Co.,Blue Ridge Red,Irish-Style Red Ale,Limited,6.3,Ale
Sierra Nevada Brewing Co.,Bonnaroo Brew,French & Belgian-Style Saison,,4.8,Saison
Sierra Nevada Brewing Co.,Boomerang,American-Style India Pale Ale,,6.7,IPA
Sierra Nevada Brewing Co.,Bosden,American-Style Stout,,6.8,Stout
Sierra Nevada Brewing Co.,Bourbon Barrel Aged Maillard's Odyssey,American-Style Imperial Porter,,9.3,Porter
Sierra Nevada Brewing Co.,Breakfast At Chicos,Specialty Stouts,,7.5,Other
Sierra Nevada Brewing Co.,Broken Vow,American-Style Imperial Porter,,,Porter
Sierra Nevada Brewing Co.,Brut IPA,American-Style India Pale Ale,,6.2,IPA
Sierra Nevada Brewing Co.,Buffalo Trace Aged Scotch Ale,Scotch Ale,,11.1,Ale
Sierra Nevada Brewing Co.,Cask-Aid,Specialty Beer,,5.5,Other
Sierra Nevada Brewing Co.,Celebration Ale,"Fresh ""Wet"" Hop Ale",Seasonal,6.8,Ale
Sierra Nevada Brewing Co.,Celebrator Beer News,American-Style Strong Pale Ale,,9.3,Pale Ale
Sierra Nevada Brewing Co.,Cherry Chocolate Stout,Imperial or Double India Pale Ale,Limited,8.5,IPA
Sierra Nevada Brewing Co.,Chico King - Beer Camp Across America,American-Style Pale Ale,Limited,6.5,Pale Ale
Sierra Nevada Brewing Co.,Chocolate Chili Stout - High Altitude Series,American-Style Imperial Stout,,8.8,Stout
Sierra Nevada Brewing Co.,Christmas Jam,Session Beer,Seasonal,4.2,Other
Sierra Nevada Brewing Co.,Clean Sweep,Golden or Blonde Ale,,3.5,Ale
Sierra Nevada Brewing Co.,Coffee Stout,Specialty Stouts,,6.2,Other
Sierra Nevada Brewing Co.,Dark Wheat,American-Style Premium Lager,,,Lager
Sierra Nevada Brewing Co.,DevESTATEtion,American-Style Black Ale,Seasonal,6.7,Ale
Sierra Nevada Brewing Co.,Double DeBOCKel,German-Style Doppelbock,,9.4,Other
Sierra Nevada Brewing Co.,Draught-Style Pale Ale,American-Style Pale Ale,,5.0,Pale Ale
Sierra Nevada Brewing Co.,Dunkelweizen,South German-Style Dunkel Weizen / Dunkel Weissbier,,5.5,Other
Sierra Nevada Brewing Co.,Dunkelweizen Bock,South German-Style Weizenbock / Weissbock,,7.2,Other
Sierra Nevada Brewing Co.,Eagle Rare Barrel Aged Scotch Ale,Scotch Ale,,11.3,Ale
Sierra Nevada Brewing Co.,Earth Day EPA,Extra Special Bitter,,5.2,Other
Sierra Nevada Brewing Co.,Electric Ray,Imperial or Double India Pale Ale,,8.5,IPA
Sierra Nevada Brewing Co.,ESB - Early Spring Beer,American-Style Pale Ale,Seasonal,5.9,Pale Ale
Sierra Nevada Brewing Co.,Estate Ale,Specialty Beer,Limited,6.7,Other
Sierra Nevada Brewing Co.,Experimental Hop Double IPA,Imperial or Double India Pale Ale,,8.0,IPA
Sierra Nevada Brewing Co.,EXPERIMENTAL HOP PILSNER,American-Style Pilsener,,5.5,Other
Sierra Nevada Brewing Co.,Experimental Hop Session IPA,Session India Pale Ale,,4.6,IPA
Sierra Nevada Brewing Co.,Family Values,American-Style Brown Ale,,8.5,Ale
Sierra Nevada Brewing Co.,Fantastic Haze,Imperial or Double India Pale Ale,,9.0,IPA
Sierra Nevada Brewing Co.,Festival Bier,American-Style Märzen / Oktoberfest,,6.0,Other
Sierra Nevada Brewing Co.,Fistful of Hops,American-Style Pale Ale,Limited,6.2,Pale Ale
Sierra Nevada Brewing Co.,Five Hop - Experimental IPA,American-Style India Pale Ale,,5.8,IPA
Sierra Nevada Brewing Co.,Flipside Red IPA,American-Style Amber/Red Ale,Fall,6.2,Ale
Sierra Nevada Brewing Co.,Floral IPA - Beer Camp #53,American-Style India Pale Ale,Limited,5.9,IPA
Sierra Nevada Brewing Co.,Foam Pilsner,American-Style Pilsener,,5.6,Other
Sierra Nevada Brewing Co.,Fresh Hop Double IPA,Imperial or Double India Pale Ale,,8.0,IPA
Sierra Nevada Brewing Co.,Fresh Hop IPA,American-Style India Pale Ale,,6.4,IPA
Sierra Nevada Brewing Co.,German Style IPA,American-Style India Pale Ale,,6.1,IPA
Sierra Nevada Brewing Co.,Glissade Golden Bock,German-Style Heller Bock/Maibock,Seasonal,6.4,Other
Sierra Nevada Brewing Co.,Golden IPA,American-Style India Pale Ale,,5.9,IPA
Sierra Nevada Brewing Co.,Grandma's Closet,Wood- and Barrel-Aged Beer,,7.6,Other
Sierra Nevada Brewing Co.,GUARD de BEER,French-Style Bière de Garde,,7.0,Other
Sierra Nevada Brewing Co.,Harvest Ale,American-Style Pale Ale,,6.7,Pale Ale
Sierra Nevada Brewing Co.,Harvest Brewers Select IPA,American-Style India Pale Ale,,6.6,IPA
Sierra Nevada Brewing Co.,Harvest Fresh Hop IPA - Southern Hemisphere Harvest,"Fresh ""Wet"" Hop Ale",,6.7,Ale
Sierra Nevada Brewing Co.,Harvest Newly Developed Hop IPA,American-Style India Pale Ale,,6.5,IPA
Sierra Nevada Brewing Co.,Harvest Single Hop IPA - Equinox Hops,American-Style India Pale Ale,,6.5,IPA
Sierra Nevada Brewing Co.,Harvest Single Hop IPA - Idaho 7 Varietal,American-Style India Pale Ale,,6.5,IPA
Sierra Nevada Brewing Co.,Harvest Single Hop Mandarina Hops,American-Style India Pale Ale,,6.5,IPA
Sierra Nevada Brewing Co.,Harvest Single Hop Yakima #291,American-Style India Pale Ale,Seasonal,6.5,IPA
Sierra Nevada Brewing Co.,Harvest Wet Hop IPA - Northern Hemisphere Harvest,"Fresh ""Wet"" Hop Ale",,6.7,Ale
Sierra Nevada Brewing Co.,Harvest Wild Hop IPA - Neomexicanus Varietal,American-Style India Pale Ale,,6.5,IPA
Sierra Nevada Brewing Co.,Hazy Little Thing,Juicy or Hazy India Pale Ale,Year Round,6.7,IPA
Sierra Nevada Brewing Co.,High Sierra FestivAle,Golden or Blonde Ale,,5.2,Ale
Sierra Nevada Brewing Co.,Holiday Haze,American-Style India Pale Ale,,6.5,IPA
Sierra Nevada Brewing Co.,Hop And Sour,American-Style Sour Ale,,4.4,Ale
Sierra Nevada Brewing Co.,Hop Bam,Specialty Beer,,5.8,Other
Sierra Nevada Brewing Co.,Hop Bullet IPA,Imperial or Double India Pale Ale,,8.0,IPA
Sierra Nevada Brewing Co.,Hop Harmony,American-Style India Pale Ale,Limited,6.7,IPA
Sierra Nevada Brewing Co.,Hop Hunter IPA,"Fresh ""Wet"" Hop Ale",Year Round,6.2,Ale
Sierra Nevada Brewing Co.,Hop Secret 644,Specialty Beer,,7.0,Other
Sierra Nevada Brewing Co.,Hop Smack Double,Specialty Beer,,8.1,Other
Sierra Nevada Brewing Co.,Hoppy Wheat IPA,American-Style India Pale Ale,,6.2,IPA
Sierra Nevada Brewing Co.,Hoptimum,Imperial or Double India Pale Ale,Limited,10.4,IPA
Sierra Nevada Brewing Co.,Hoptinite,American-Style India Pale Ale,,8.0,IPA
Sierra Nevada Brewing Co.,Imperial Pilsner - Beer Camp #43,American-Style Pilsener,Limited,5.6,Other
Sierra Nevada Brewing Co.,Imperial Red Ale - Beer Camp #65,Imperial Red Ale,Limited,8.1,Ale
Sierra Nevada Brewing Co.,India Farmhouse Ale,French & Belgian-Style Saison,,7.4,Saison
Sierra Nevada Brewing Co.,India Pale Ale,American-Style Pale Ale,,6.8,Pale Ale
Sierra Nevada Brewing Co.,Karaoke Fail,American-Style Pale Ale,,6.7,Pale Ale
Sierra Nevada Brewing Co.,Kellerweis,South German-Style Hefeweizen / Hefeweissbier,Year Round,4.8,Hefeweizen
Sierra Nevada Brewing Co.,Knightro,Classic Irish-Style Dry Stout,,4.6,Stout
Sierra Nevada Brewing Co.,Kolsch,German-Style Kölsch / Köln-Style Kölsch,,5.0,Other
Sierra Nevada Brewing Co.,Kölsch TEST DUMMIES,Fruit Beer,,6.4,Other
Sierra Nevada Brewing Co.,Life and Limb,Specialty Beer,Limited,10.2,Other
Sierra Nevada Brewing Co.,Long Steam IPA,American-Style India Pale Ale,,5.8,IPA
Sierra Nevada Brewing Co.,Mach 25 Intergalactic Planetary Ale,Specialty Beer,Limited,5.0,Other
Sierra Nevada Brewing Co.,Mai-nd-Bockling,German-Style Heller Bock/Maibock,,6.0,Other
Sierra Nevada Brewing Co.,Maillard's Odyssey,Imperial Red Ale,,8.5,Ale
Sierra Nevada Brewing Co.,Maple Scotch-Style Ale,Scotch Ale,,7.3,Ale
Sierra Nevada Brewing Co.,Moxee-Moron,Imperial or Double India Pale Ale,,7.5,IPA
Sierra Nevada Brewing Co.,Narwhal,American-Style Imperial Stout,Seasonal,10.2,Stout
Sierra Nevada Brewing Co.,Narwhal Tawny Port Barrel Aged,American-Style Imperial Stout,,11.4,Stout
Sierra Nevada Brewing Co.,Neomixicanus,American-Style India Pale Ale,,6.5,IPA
Sierra Nevada Brewing Co.,No Middle Ground,American-Style India Pale Ale,,6.9,IPA
Sierra Nevada Brewing Co.,Nooner Pilsner,American-Style Pilsener,,5.2,Other
Sierra Nevada Brewing Co.,Nooner Session IPA,American-Style India Pale Ale,,4.8,IPA
Sierra Nevada Brewing Co.,NXS,American-Style India Pale Ale,,6.5,IPA
Sierra Nevada Brewing Co.,NxS IPA,Imperial or Double India Pale Ale,Limited,9.0,IPA
Sierra Nevada Brewing Co.,Oatmeal Stout - Beer Camp #45,Oatmeal Stout,Limited,9.0,Stout
Sierra Nevada Brewing Co.,Oh Saisonna,French & Belgian-Style Saison,,8.3,Saison
Sierra Nevada Brewing Co.,Old Chico Crystal Wheat,American-Style Pale Ale,,4.8,Pale Ale
Sierra Nevada Brewing Co.,Old Chico ESB,Extra Special Bitter,,,Other
Sierra Nevada Brewing Co.,Old CHico Pale Bock,Traditional German-Style Bock,,,Other
Sierra Nevada Brewing Co.,Otra Vez,Contemporary Gose,Year Round,4.5,Other
Sierra Nevada Brewing Co.,Otra Vez Gose With Lime & Agave,Contemporary Gose,,4.9,Other
Sierra Nevada Brewing Co.,Ovila Abbey Aged Dubbel,Belgian-Style Dubbel,,8.5,Other
Sierra Nevada Brewing Co.,Ovila Abbey Brown Ale (With Mandarins and Cocoa),American-Style Brown Ale,,7.0,Ale
Sierra Nevada Brewing Co.,Ovila Abbey Saison,French & Belgian-Style Saison,,7.5,Saison
Sierra Nevada Brewing Co.,Ovila Abbey Saison (w/ Mandarin Oranges and Peppercorns),French & Belgian-Style Saison,,7.5,Saison
Sierra Nevada Brewing Co.,Ovila Abbey Trippel,Belgian-Style Tripel,Limited,8.8,Other
Sierra Nevada Brewing Co.,Ovila Abbey White,Belgian-Style White (or Wit) / Belgian-Style Wheat,,5.3,Other
Sierra Nevada Brewing Co.,Ovila Belgian Golden Ale,Belgian-Style Pale Strong Ale,Limited,8.5,Ale
Sierra Nevada Brewing Co.,Ovila Dubbel,Belgian-Style Dubbel,,7.5,Other
Sierra Nevada Brewing Co.,Ovila Dubbel Barrel-Aged,Wood- and Barrel-Aged Beer,,10.8,Other
Sierra Nevada Brewing Co.,Ovila Golden With Pomegranates,Golden or Blonde Ale,,8.5,Ale
Sierra Nevada Brewing Co.,Ovila Quad,Belgian-Style Tripel,,10.5,Other
Sierra Nevada Brewing Co.,Ovila Quad Brandy Barrel-Aged,Belgian-Style Quadrupel,Limited,10.1,Other
Sierra Nevada Brewing Co.,Ovila Wood-Aged Saison,French & Belgian-Style Saison,,7.8,Saison
Sierra Nevada Brewing Co.,Pale Ale,American-Style Pale Ale,Year Round,5.6,Pale Ale
Sierra Nevada Brewing Co.,Passion Fruit Milkshake Ipa,Juicy or Hazy India Pale Ale,,6.2,IPA
Sierra Nevada Brewing Co.,Pat-Rye-Ot,American-Style Pale Ale,,5.6,Pale Ale
Sierra Nevada Brewing Co.,Peach IPA,American-Style India Pale Ale,,5.8,IPA
Sierra Nevada Brewing Co.,Pitch-A-Tent,Specialty Beer,Limited,9.0,Other
Sierra Nevada Brewing Co.,Port Barrel Aged Biere De Garde,French-Style Bière de Garde,,10.2,Other
Sierra Nevada Brewing Co.,Porter,Brown Porter,,5.6,Porter
Sierra Nevada Brewing Co.,Rain Check,Specialty Stouts,,,Other
Sierra Nevada Brewing Co.,Red Ryeot,Rye Ale or Lager with or without Yeast,,6.5,Other
Sierra Nevada Brewing Co.,Red-oric - Beer Camp #65 (Best Of Beer Camp: Imperial Red Ale),American-Style Amber/Red Ale,,8.0,Ale
Sierra Nevada Brewing Co.,Resilience Butte County Proud IPA,American-Style India Pale Ale,,6.8,IPA
Sierra Nevada Brewing Co.,Return of the Red Eye IPA,American-Style India Pale Ale,Limited,6.5,IPA
Sierra Nevada Brewing Co.,River Ryed Rye IPA,Rye Ale or Lager with or without Yeast,,6.0,Other
Sierra Nevada Brewing Co.,Ruthless Rye IPA,American-Style India Pale Ale,Limited,6.6,IPA
Sierra Nevada Brewing Co.,Rye Ale (Aged in Sagamore Rye Whiskey Barrels),Rye Ale or Lager with or without Yeast,,9.2,Other
Sierra Nevada Brewing Co.,Rye Way 117,Specialty Honey Lager or Ale,,7.4,Ale
Sierra Nevada Brewing Co.,Ryeday the 13th,Rye Ale or Lager with or without Yeast,,5.5,Other
Sierra Nevada Brewing Co.,Scotch Ale Project 1 Blanton's,Scottish-Style Heavy Ale,,11.3,Ale
Sierra Nevada Brewing Co.,Scotch Ale Project 2 Buffalo Trace,Scottish-Style Heavy Ale,,11.3,Ale
Sierra Nevada Brewing Co.,Scotch Ale Project 2 Eagle Rare,Scottish-Style Heavy Ale,,11.3,Ale
Sierra Nevada Brewing Co.,Scotch-Style Ale,Scotch Ale,,7.3,Ale
Sierra Nevada Brewing Co.,Session Rye,Rye Ale or Lager with or without Yeast,,4.5,Other
Sierra Nevada Brewing Co.,Shamrock'n Rye Ale,Rye Ale or Lager with or without Yeast,Limited,6.6,Other
Sierra Nevada Brewing Co.,Sidcar Orange IPA,American-Style India Pale Ale,,6.8,IPA
Sierra Nevada Brewing Co.,SideCar,American-Style Amber/Red Ale,,5.6,Ale
Sierra Nevada Brewing Co.,Sidecar Orange Pale Ale,American-Style Pale Ale,,5.6,Pale Ale
Sierra Nevada Brewing Co.,Sierra Nevada Torpedo Cask,American-Style India Pale Ale,,7.2,IPA
Sierra Nevada Brewing Co.,Sierraveza,American-Style Light (Low Calorie) Lager,,5.0,Lager
Sierra Nevada Brewing Co.,Simmer Down Brown,American-Style Brown Ale,Limited,7.0,Ale
Sierra Nevada Brewing Co.,Single Hop Amarillo IPA,American-Style India Pale Ale,,6.7,IPA
Sierra Nevada Brewing Co.,Single Hop Cascade IPA,American-Style India Pale Ale,Seasonal,6.3,IPA
Sierra Nevada Brewing Co.,Single Hop Citra IPL,American-Style Lager,,5.5,Lager
Sierra Nevada Brewing Co.,Single Hop El Dorado Session IPA,Session India Pale Ale,,4.6,IPA
Sierra Nevada Brewing Co.,Single Hop Mosaic Double IPA,Imperial or Double India Pale Ale,,6.6,IPA
Sierra Nevada Brewing Co.,Six Rights IPA -  Beer Camp,American-Style India Pale Ale,,8.0,IPA
Sierra Nevada Brewing Co.,SkiEsta,American-Style Lager,,5.2,Lager
Sierra Nevada Brewing Co.,Sleight of Hand,Specialty Beer,Limited,8.3,Other
Sierra Nevada Brewing Co.,Snow Cone IPA,American-Style India Pale Ale,Limited,7.0,IPA
Sierra Nevada Brewing Co.,Snow Wit,American-Style India Pale Ale,,5.7,IPA
Sierra Nevada Brewing Co.,So Fresh & So Keene IPA,American-Style India Pale Ale,Not Available,6.5,IPA
Sierra Nevada Brewing Co.,Solar Storm - Beer Camp #71,American-Style India Pale Ale,,5.8,IPA
Sierra Nevada Brewing Co.,Southern Gothic Session Pils,German-Style Pilsener,,5.6,Other
Sierra Nevada Brewing Co.,Southern Hemisphere Harvest,American-Style Pale Ale,Limited,6.7,Pale Ale
Sierra Nevada Brewing Co.,Southern Hemisphere Session IPA,Session India Pale Ale,,4.6,IPA
Sierra Nevada Brewing Co.,Steady As She Gose,Leipzig-Style Gose,,5.7,Other
Sierra Nevada Brewing Co.,Stout,American-Style Stout,Year Round,5.8,Stout
Sierra Nevada Brewing Co.,Summerfest,American-Style Lager,Summer,5.0,Lager
Sierra Nevada Brewing Co.,Sweet Sunny South,Belgian-Style Table Beer,,4.9,Other
Sierra Nevada Brewing Co.,Tater Ridge - Beer Camp Across America,Scottish-Style Heavy Ale,Limited,7.0,Ale
Sierra Nevada Brewing Co.,Torpedo Extra IPA,American-Style India Pale Ale,Year Round,7.2,IPA
Sierra Nevada Brewing Co.,Trip In The Woods,Scotch Ale,,9.6,Ale
Sierra Nevada Brewing Co.,Trip In The Woods Barrel Aged Narwhal w/Red & Black Currents,American-Style Imperial Stout,Limited,9.8,Stout
Sierra Nevada Brewing Co.,Trip In the Woods Biere De Garde,French-Style Bière de Garde,,9.8,Other
Sierra Nevada Brewing Co.,Trip in the Woods Madeira Quad,Belgian-Style Quadrupel,,10.5,Other
Sierra Nevada Brewing Co.,Trip in the Woods NARWHAL,Wood- and Barrel-Aged Strong Beer,,9.8,Other
Sierra Nevada Brewing Co.,Trip In the Woods Rum Barrel Aged Quad,Belgian-Style Quadrupel,,9.8,Other
Sierra Nevada Brewing Co.,Trip in the Woods Spiced Belgian Quad,Belgian-Style Quadrupel,,13.4,Other
Sierra Nevada Brewing Co.,Trip in the Woods: Barrel Aged Ginger Bigfoot,American-Style Barley Wine Ale,,11.4,Ale
Sierra Nevada Brewing Co.,Trip In the Woods: Cocoa Coconut Narwhal,American-Style Imperial Stout,,11.8,Stout
Sierra Nevada Brewing Co.,Trip in the Woods: Maple Scotch,Scotch Ale,,9.8,Ale
Sierra Nevada Brewing Co.,Trip In the Woods: Rye Dunkelweizen,South German-Style Dunkel Weizen / Dunkel Weissbier,,9.6,Other
Sierra Nevada Brewing Co.,Trip In The Woods: Tawny Narwhal,British-Style Imperial Stout,,11.4,Stout
