brewery_id,breweries,in_business,city,state,latitude,longitude,brewery_type,phone,website
B5jTO7,Clouds Brewing,Y,Durham,North Carolina,35.9999644,-78.9101083,Brewpub,(919) 251-8096,http://www.cloudsbrewing.com/durham/
5zPMkZ,Crystal Coast Brewing Company,Y,Atlantic Beach,North Carolina,34.7008756,-76.7413625,Micro Brewery,2522962841,
Dr0DzL,Divine Barrel Brewing,Y,Charlotte,North Carolina,35.2502061,-80.79629240000001,Micro Brewery,(980) 237-1803,divinebarrel.com/
WDrFlD,Asheville Brewing Company,Y,Asheville,North Carolina,35.5917433,-82.5553572,Brewpub,828-255-4077,http://ashevillebrewing.com/
IJEzHF,DSSOLVR,Y,Asheville,North Carolina,35.5969081,-82.5534597,Micro Brewery,,https://dssolvr.com/
46zcjJ,Eurisko Beer Company,Y,Asheville,North Carolina,35.58624550000001,-82.5523569,Micro Brewery,828-774-5055,www.euriskobeer.com
fQhCNM,Fitzgerald's Irish Pub,Y,Charlotte,North Carolina,35.2269273,-80.84038079999998,Restaurant/Ale House,704-900-8088,
k8ujcf,Flying Machine Brewing Company,Y,Wilmington,North Carolina,34.229589000000004,-77.901324,Tasting Room,910-769-8173,www.flyingmachine.beer
ajREdT,Foothills Brewing Company,Y,Winston-Salem,North Carolina,36.04535300000001,-80.32315899999998,Tasting Room,336-997-9484,http://foothillsbrewing.com
nLP1fR,Fortnight Brewing Company,Y,Cary,North Carolina,35.777278,-78.801539,Micro Brewery,,http://fortnightbrewing.com/
apcbMr,Fourth Creek Brewing Co.,Y,Statesville,North Carolina,35.7841271,-80.89102220000002,Micro Brewery,980-223-2294,https://www.fourthcreekbrewco.com/
cESRYF,Fox Hill Meadery,Y,Marshall,North Carolina,35.701399,-82.72549599999998,Meadery,(828) 683-3387,https://www.foxhillmead.com/
zeWbuM,Wicked Weed Brewing Company,Y,Asheville,North Carolina,35.589172,-82.55522629999999,Micro Brewery,,
rfXHD7,Natty Greene's Brewing Co.,Y,Greensboro,North Carolina,36.069368,-79.79043100000001,Brewpub,336-274-1373,http://nattygreenes.com
ueswRW,Hi-Wire Brewing,Y,Asheville,North Carolina,35.5710813,-82.5459467,Micro Brewery,(828) 738-2448,https://hiwirebrewing.com/big-top/
HX4Prz,Skull Coast Ales,Y,Hickory,North Carolina,35.735156,-81.325672,Micro Brewery,,
XOcBJQ,Liberty Steakhouse and Brewery,Y,High Point,North Carolina,35.988478,-80.00451,Brewpub,(336) 882-4677,
beC6Xf,Keeper's Cut Meadery,Y,Marion,North Carolina,35.681552,-82.0112971,Meadery,828-527-6326,http://www.facebook.com/keeperscut
0tKnKg,Koi Pond Brewing Company,Y,Rocky Mount,North Carolina,35.938012,-77.804379,Micro Brewery,,http://koipondbrewingcompany.com/
7JiAJ8,Coffee Brewery,Y,Raleigh,North Carolina,35.8034825,-78.63404969999998,Production Facility,,
hd8yE8,Lost Colony Brewery,Y,Manteo,North Carolina,35.909509,-75.6695212,Micro Brewery,(252) 473-6666,lostcolonybrewery.com/brewery
8NIrvv,Mad Co. Brew House,Y,Marshall,North Carolina,35.7974112,-82.68486290000001,Micro Brewery,(828) 649-8600,http://www.madisoncountybrewing.com/
DuLRZh,Lynwood Brewing Concern,Y,Raleigh,North Carolina,35.8704474,-78.7173494,Micro Brewery,9197850043,
kZAhYn,Green Man Brewery,Y,Asheville,North Carolina,35.5886188,-82.55318359999998,Brewpub,828-252-5502,http://www.greenmanbrewery.com/
mEDZEd,Bond Brothers Beer Company,Y,Cary,North Carolina,35.7883075,-78.77777320000001,Micro Brewery,,
GH37ia,Hayesville Brewing Co,Y,Hayesville,North Carolina,35.039894,-83.7957094,Micro Brewery,(828) 835-6010,https://www.facebook.com/leisa5678/
SZSffk,The Dreamchaser's Brewery,Y,Waxhaw,North Carolina,34.9252494,-80.7430102,Nano Brewery,(704) 843-7326,http://dreamchasersbrewery.com
GUASqL,Lower Left Brewing Co,Y,Charlotte,North Carolina,35.182762,-80.8801084,Micro Brewery,704-469-9861,www.llbrewco.com
hNPjUO,Red Oak Brewery,Y,Whitsett,North Carolina,36.061258,-79.56952,Micro Brewery,888-Red-Oaks,http://www.redoakbrewery.com/
buCABg,Top of the Hill Restaurant and Brewery,Y,Chapel Hill,North Carolina,35.9131641,-79.0557507,Brewpub,1-919-929-8676,
vEBhwg,Blue Blaze Brewing,Y,Charlotte,North Carolina,35.241765,-80.8672069,Micro Brewery,(704) 717-8527,http://www.blueblazebrewing.com/
R5c06p,Southern Strain Beer Company LLC,Y,Concord,North Carolina,35.4150768,-80.57717290000002,Nano Brewery,7042189106,www.southernstrainbrewing.com
3PKoGG,Percent Tap House,Y,Harrisburg,North Carolina,35.3264399,-80.6466085,Nano Brewery,9802588651,www.percenttaphouse.com
pp1OW5,Zebulon Artisan Ales,Y,Weaverville,North Carolina,35.6966626,-82.5608605,Micro Brewery,,
WSOfSU,Hickory Nut Gorge Brewery,Y,Chimney Rock,North Carolina,35.4402773,-82.25002099999998,Micro Brewery,(828) 436-7047,http://Hickorynutgorgebrewery.com
OV4wYQ,Brown Truck Brewery,Y,High Point,North Carolina,35.97147879999999,-80.016063,Micro Brewery,(336) 442-7519,https://www.browntruckbrewery.com/
8m7Tbv,Cavendish Brewing Company,Y,Gastonia,North Carolina,35.2657001,-81.1877502,Micro Brewery,,
0onkhr,Durty Bull Brewing Company,Y,Durham,North Carolina,36.0011871,-78.89829940000001,Micro Brewery,(919) 688-2337,http://www.durtybull.com/
6wKutG,Three Spirits Brewery,Y,Charlotte,North Carolina,35.1716557,-80.8791142,Micro Brewery,,http://threespiritsbrewery.com
d8WYrI,Bhramari Brewhouse,Y,Asheville,North Carolina,35.5914264,-82.55201269999998,Micro Brewery,828.214.7981,
c30iDf,Sweeten Creek Brewing,Y,Asheville,North Carolina,35.54254620000001,-82.5221774,Micro Brewery,(828) 575-2785,http://sweetencreekbrewing.com/
EMjWN6,Joymongers Brewing Co.,Y,Greensboro,North Carolina,36.078767,-79.79369270000002,Micro Brewery,,https://www.facebook.com/Joymongers/timeline
qgSKWX,Groundlion Brewing Co.,Y,Seagrove,North Carolina,35.54041470000001,-79.77309009999998,Micro Brewery,,
hdOVRn,Southern Appalachian Brewery,Y,Hendersonville,North Carolina,35.322374,-82.459547,Micro Brewery,828-684-1235,http://www.sabrewery.com/
T0B8fy,Ecusta Brewery and Taproom,Y,Pisgah Forest,North Carolina,35.27372620000001,-82.7051634,Micro Brewery,(828) 966-2337,
5JtwpP,Camelback Brewing Company,Y,Sanford,North Carolina,35.4872513,-79.19353690000001,Micro Brewery,(919) 478-1614,https://camelbackbrewingco.com/
hdckyq,Mountain Layers Brewing Company,Y,Bryson City,North Carolina,35.4287879,-83.4460677,Micro Brewery,,http://www.mountainlayersbrewingcompany.com/
1yqdyJ,Howard Brewing Company,Y,Lenoir,North Carolina,35.91498,-81.539464,Brewpub,,
JxLZ8H,Little City Brewing And Provisions Co.,Y,Raleigh,North Carolina,35.7851987,-78.6452222,Micro Brewery,(919) 502-7155,http://thelocalicon.com/little-city/
8Qe5WH,Commoners Brewing Company,Y,Concord,North Carolina,35.4597838,-80.58485309999998,Micro Brewery,(704) 886-6002,https://commonersbrewingcompany.com/
PXxbtS,4Chambers Brewing,Y,Stallings,North Carolina,35.0907026,-80.68617990000001,Micro Brewery,,
cqA8ox,Biltmore Brewing Company,Y,Asheville,North Carolina,35.557734,-82.58067199999998,Office,828-225-1333,http://www.biltmore.com/our_wine/Biltmore_Brewing/Cedrics_Beer/
GV82Ll,Bold Missy Brewery,Y,Charlotte,North Carolina,35.2492964,-80.7966386,Micro Brewery,,http://www.boldmissybrewery.com/
V8Zeed,Quick Trigger Brewing Company,Y,Ahoskie,North Carolina,36.286113,-76.986475,Micro Brewery,,
2Qkw10,Sycamore Brewing,Y,Charlotte,North Carolina,35.20872100000001,-80.862753,Micro Brewery,,http://www.sycamorebrew.com/
ajBhPo,217 Brew Works,Y,Wilson,North Carolina,35.7229467,-77.9121525,Micro Brewery,,http://217brewworks.com/
D2uVZF,Seaboard Taproom & Wine Bar,Y,Matthews,North Carolina,35.1175931,-80.7213451,Micro Brewery,(704) 555-1212,
RbLIUa,Salty Turtle Beer Co.,Y,Surf City,North Carolina,34.443383399999995,-77.56088009999998,Micro Brewery,,http://saltyturtlebeer.com
j3eQCh,Newgrass Brewing Co.,Y,Shelby,North Carolina,35.290221,-81.539978,Micro Brewery,(704) 937-1280,
MOM2Mw,Lenny Boy Brewing Co.,Y,Charlotte,North Carolina,35.201444,-80.873595,Micro Brewery,(980) 585-1728,http://www.discoverlennyboy.com
UOIwZb,Kind Beer Distributing,Y,Charlotte,North Carolina,35.265226,-80.759962,Office,704-819-4913,http://www.kindbeers.com/
gv1egz,Old North State Winery & Brewery,Y,Mount Airy,North Carolina,36.501921,-80.60828199999997,Micro Brewery,336-789-9463,http://www.oldnorthstatewinery.com/
Ym0fEg,Neuse River Brewing Company,Y,Raleigh,North Carolina,35.8041774,-78.63283320000002,Micro Brewery,(404) 386-752,http://neuseriverbrewing.com/
5V7Qcw,GBrewhouse,Y,Peletier,North Carolina,34.7293,-77.07500300000002,Micro Brewery,,
ZRW59q,Preyer Brewing Company,Y,Greensboro,North Carolina,36.079488,-79.793932,Micro Brewery,(336) 256-9450,http://www.preyerbrewing.com
2nQ997,Starpoint Brewing,Y,Carrboro,North Carolina,35.87385399999999,-79.08368,Nano Brewery,,
IjjCkQ,Bull City Ciderworks,Y,Durham,North Carolina,35.9909566,-78.89930129999998,Cidery,(919) 701-8467,www.bullcityciderworks.com/
RzRrsp,Haw River Farmhouse Ales,Y,Saxapahaw,North Carolina,35.94672199999999,-79.319075,Micro Brewery,919-741-9039,http://hawriverales.com/
HM5BbV,Bark Brewing Company,Y,Greensboro,North Carolina,36.0617081,-79.8438328,Micro Brewery,(336) 856-1406,http://barkbrewingcompany.com/
JLf9YB,Bombshell Beer Company,Y,Holly Springs,North Carolina,35.65828889999999,-78.8367829,Micro Brewery,(919) 823-1933,http://www.bombshellbeer.com/
PoQAbZ,Yellow Sun Brewing Co,Y,Rutherfordton,North Carolina,35.36662000000001,-81.958449,Micro Brewery,(828) 429-3840,
8nYps3,American Honor Beer Company,Y,SE Hickory,North Carolina,35.735392,-81.3258422,Micro Brewery,800-961-8176,http://www.americanhonorbeer.com/
288yl0,Twenty-Six Acres Brewing Company,Y,Concord,North Carolina,35.388337,-80.723158,Micro Brewery,980-277-2337,http://www.26acres.com
mcYO9v,Appalachian Mountain Brewery,Y,Boone,North Carolina,36.2033443,-81.6685954,Micro Brewery,(828) 263-1111,http://www.appalachianmountainbrewery.com/
NTO6Fr,Nickelpoint Brewing Co.,Y,Raleigh,North Carolina,35.804402,-78.633663,Micro Brewery,,http://www.unionsquarebrewery.com
jDg4xl,BearWaters Brewing Company,Y,Canton,North Carolina,35.53130189999999,-82.8426478,Micro Brewery,(828) 237-4200,http://www.bwbrewing.com/
kVLhDj,New Sarum Brewing,Y,Salisbury,North Carolina,35.666689,-80.46810500000002,Micro Brewery,(704) 830-6577,http://www.newsarumbrewing.com
knEKVM,Pitt Street Brewing Company,Y,Greenville,North Carolina,35.60941370000001,-77.3771667,Micro Brewery,(252) 227-4151,https://www.pittstreetbrewing.com/
zxMohP,Wooden Robot Brewery,Y,Charlotte,North Carolina,35.21667670000001,-80.85664399999997,Micro Brewery,,
ThMAOJ,Naked Apple Hard Cider,Y,Flat Rock,North Carolina,35.271228,-82.441508,Cidery,,
3Rjk1o,Heist Brewery,Y,Charlotte,North Carolina,35.245827,-80.80896700000002,Brewpub,(704) 375-8260,http://www.heistbrewery.com
Rew3Ib,Outer Banks Brewing Station,Y,Kill Devil Hills,North Carolina,36.009996,-75.658754,Brewpub,252-449-2739,http://obbrewing.com/
zjHu4E,New Anthem Beer Project,Y,Wilmington,North Carolina,34.2340165,-77.94776329999998,Micro Brewery,,
zwAzew,Double Barley Brewing,Y,Smithfield,North Carolina,35.56674920000001,-78.3380203,Micro Brewery,(919) 934-3433,http://doublebarleybrewing.com/
Hdz6Zk,Starrlight Mead,Y,Pittsboro,North Carolina,35.72694179999999,-79.17520209999998,Meadery,919-533-6314,http://starrlightmead.com
404w1Y,Hoppy Trout Brewing Company,Y,Andrews,North Carolina,35.200614,-83.826531,Micro Brewery,(828) 835-2111,http://www.hoppytroutbrewing.com
zCcJrf,OysterHouse Brewing Company,Y,Asheville,North Carolina,35.5789513,-82.58885790000002,Brewpub,828-350-0505,http://www.oysterhousebeers.com/
soqqVC,Eleven Lakes Brewing,Y,Cornelius,North Carolina,35.45471329999999,-80.859866,Micro Brewery,,
zuFqe6,Suffolk Punch,Y,Charlotte,North Carolina,35.2004683,-80.869111,Restaurant/Ale House,704-319-8650,https://thesuffolkpunch.com
wH4NHi,Resident Culture,Y,Charlotte,North Carolina,35.2201419,-80.8055087,Micro Brewery,(704) 333-1862,https://residentculturebrewing.com/
VMeZHo,Lazy Hiker Brewing Co.,Y,Franklin,North Carolina,35.180679,-83.38424499999998,Micro Brewery,(828) 369-5299,http://www.lazyhikerbrewing.com/
fJYG8Y,Highland Brewing Company,Y,Asheville,North Carolina,35.571062,-82.49818990000001,Micro Brewery,828-299-3370,http://www.highlandbrewing.com/
WDbiXY,Wise Man Brewing,Y,Winston-Salem,North Carolina,36.104876,-80.245385,Micro Brewery,(336) 725-0008,http://www.wisemanbrewing.com/
RkB8DB,One World Brewing,Y,Asheville,North Carolina,35.594796,-82.552285,Micro Brewery,(508) 982-3757,http://www.oneworldbrewing.com/
A4kfNJ,Legion Brewing,Y,Charlotte,North Carolina,35.218387,-80.812963,Nano Brewery,,http://Www.legionbrewing.com
eu1cAn,Bull City Burger and Brewery,Y,Durham,North Carolina,35.99544500000001,-78.899939,Brewpub,919-680-2333,http://www.bullcityburgerandbrewery.com/
YGl9bd,Lost Province Brewing Co,Y,Boone,North Carolina,36.219076,-81.6835445,Micro Brewery,(828) 263-7429,http://lostprovince.com
PDva3w,Good Hops Brewing LLC,Y,Carolina Beach,North Carolina,34.041266,-77.904635,Micro Brewery,(706) 713-1594,https://www.goodhopsbrewing.com
QR49h5,Oak & Dagger Public House,Y,Raleigh,North Carolina,35.7892684,-78.63940649999998,Micro Brewery,,
drNCMo,Flat Top Brewing Company,Y,Elk,North Carolina,36.165885,-81.863956,Micro Brewery,(423) 342-7030,http://www.flattopbrewing.com
18bX0K,Ole Shed Brewing Company,Y,Dallas,North Carolina,35.316155,-81.219127,Micro Brewery,(704) 266-1472,http://www.oledallasbrewery.com
sUoofg,Brüeprint Brewing Company,Y,Apex,North Carolina,35.71219439999999,-78.851764,Micro Brewery,,http://brueprint.com/
XRTc94,Aviator Brewing Company,Y,Fuquay-Varina,North Carolina,35.619701,-78.808539,Micro Brewery,919-567-2337,http://www.aviatorbrew.com/
UoXcp7,Broomtail Craft Brewery,Y,Wilmington,North Carolina,34.2598405,-77.8468914,Micro Brewery,(910) 264-1369,http://www.broomtailcraftbrewery.com
pKTvAn,Triskelion Brewing Company,Y,Hendersonville,North Carolina,35.3204813,-82.457796,Micro Brewery,(828) 388-7051,http://triskelionbrewing.com/
LZ4UuN,Mother Earth Brewing (North Carolina),Y,Kinston,North Carolina,35.262656,-77.5825349,Micro Brewery,252-208-2437,http://www.motherearthbrewing.com/
78GQyY,The Barking Duck Brewing Co.,Y,Mint Hill,North Carolina,35.1524824,-80.6800688,Micro Brewery,(980) 938-6300,http://www.barkingduckbrew.com/
UPUlc4,Crank Arm Brewing Company,Y,Raleigh,North Carolina,35.7755269,-78.6440439,Micro Brewery,(919) 291-0643,http://crankarmbrewing.com/
hCCFgr,Beech Mountain Brewing Co.,Y,Beech Mountain,North Carolina,36.1946784,-81.87799509999998,Micro Brewery,(800) 438-2093,http://www.beechmountainresort.com/mountain/brewery.html
y5QrQr,Thirsty Nomad Brewing Co.,Y,Charlotte,North Carolina,35.18836500000001,-80.891133,Nano Brewery,704-940-0947,http://thirstynomadbrewing.com
06f9U6,Balsam Falls Brewing Company,Y,Sylva,North Carolina,35.3737395,-83.2220743,Nano Brewery,(828)631-1987,
CisTjj,Sugar Creek Brewing Company,Y,Charlotte,North Carolina,35.18542120000001,-80.8809845,Micro Brewery,,http://sugarcreekbrewing.com/
DYs3U3,Red Hill Brewing Co,Y,Concord,North Carolina,35.4103958,-80.5806013,Micro Brewery,(704) 784-2337,http://redhillbrewing.com/
AT5UIb,D9 Brewing Company,Y,Cornelius,North Carolina,35.461202,-80.847373,Micro Brewery,,http://www.d9brewing.com
mmoIS2,Fonta Flora Brewery,Y,Morganton,North Carolina,35.7478209,-81.6914461,Micro Brewery,(828) 475-0153,http://www.fontaflora.com/
sxggDn,BottleTree Beer Co,Y,Tryon,North Carolina,35.2089443,-82.23814759999998,Office,864-266-0133,http://www.bottletree.net/
F99d01,Tobacco Road Brewery,Y,Raleigh,North Carolina,35.7825535,-78.6463897,Micro Brewery,(919) 301-8793,http://www.tobaccoroadsportscafe.com/
MstViE,French Broad River Brewing Company,Y,Asheville,North Carolina,35.56648320000001,-82.5374074,Micro Brewery,828-277-0222,http://frenchbroadbrewery.com/
9GewxD,Bear Creek Brews,Y,Bear Creek,North Carolina,35.6518126,-79.3329623,Nano Brewery,(919) 200-3930,http://www.bearcreekbrews.com/
Xgj486,Burning Blush Brewery,Y,Mills River,North Carolina,35.38372310000001,-82.5689964,Micro Brewery,828-595-9859,http://burningblush.com/
2g1fge,Frog Level Brewing Company,Y,Waynesville,North Carolina,35.4934583,-82.9910063,Micro Brewery,,http://www.froglevelbrewing.com
77YOgn,Front Street Brewery,Y,Wilmington,North Carolina,34.235752000000005,-77.949088,Micro Brewery,910-251-1935,http://www.frontstreetbrewery.com/
8jjpWz,The Dreamweaver's Brewery,Y,Waxhaw,North Carolina,34.9245935,-80.74340190000002,Micro Brewery,,
0WRKfW,Boylan Bridge Brewpub,Y,Raleigh,North Carolina,35.7784641,-78.6490665,Brewpub,919-803-8927,http://www.boylanbridge.com/
NNBRpr,Southern Peak Brewery,Y,Apex,North Carolina,35.7474177,-78.84380490000002,Micro Brewery,,
fsNEt0,Gibb's Hundred Brewing Company,Y,Greensboro,North Carolina,36.065851,-79.791772,Micro Brewery,336-763-7087,http://www.gibbshundred.com/
HUCz2L,Fullsteam Brewery,Y,Durham,North Carolina,36.0031092,-78.8995998,Micro Brewery,919-682-2337,http://www.fullsteam.ag/
KZlIgk,Four Saints Brewing Company,Y,Asheboro,North Carolina,35.7040289,-79.8145682,Micro Brewery,336-610-3722,http://www.foursaintsbrewing.com
wtU6qB,Triple C Brewing Company,Y,Charlotte,North Carolina,35.200972,-80.869119,Micro Brewery,704-372-3212,http://www.triplecbrewing.com/
2qlMjT,Pisgah Brewing Company,Y,Black Mountain,North Carolina,35.608487,-82.36105500000002,Micro Brewery,828-669-0190,http://pisgahbrewing.com/
yO2ogr,Wedge Brewing Company,Y,Asheville,North Carolina,35.5861437,-82.5663199,Micro Brewery,,http://wedgebrewing.com/
Fr3ygj,Weeping Radish Farm Brewery,Y,Grandy,North Carolina,36.2197049,-75.869811,Micro Brewery,252-491-5205,http://www.weepingradish.com/
BWvj93,Steel String Brewery,Y,Carrboro,North Carolina,35.910205,-79.07227900000002,Micro Brewery,(828) 381.7557,http://www.steelstringbrewery.com/
ZXEwp8,Boojum Brewing Company,Y,Waynesville,North Carolina,35.4904458,-82.98757619999998,Tasting Room,828-246-0350,
1i8Y2X,Waterman's Brewing Co,Y,Wilmington,North Carolina,34.2210956,-77.8205824,Micro Brewery,(910) 839-3103,http://www.watermansbrewing.com/
gfH8Gd,Primal Brewery,Y,Huntersville,North Carolina,35.4370891,-80.8436834,Micro Brewery,(704)947-2920,http://www.primalbrewery.com
IyzwQ4,Waterline Brewing Company,Y,Wilmington,North Carolina,34.225565,-77.948452,Micro Brewery,,http://www.waterlinebrewing.com/
QANLRv,White Street Brewing Company,Y,Wake Forest,North Carolina,35.977704,-78.509865,Micro Brewery,919-647-9439,
f6tQ4t,3rd Degree Brewhouse,Y,Fuquay-Varina,North Carolina,35.5968154,-78.7612138,Micro Brewery,(919) 201-5457,
enoxkn,Brevard Brewing Co.,Y,Brevard,North Carolina,35.23332429999999,-82.7333116,Micro Brewery,,
2nAbvS,Little Brother Brewing,Y,Greensboro,North Carolina,36.0686325,-79.7908848,Micro Brewery,,https://www.littlebrotherbrew.com/
gINfbT,Nantahala Brewing Company,Y,Bryson City,North Carolina,35.431176,-83.446072,Micro Brewery,828-488-2337,http://www.nantahalabrewingcompany.com/
tRGa3f,Ivory Tower Brewery,Y,Boone,North Carolina,36.212318,-81.680083,Micro Brewery,,http://ivorytower.appstate.edu/
qaxiOI,Nocturnal Brewing,Y,Hayesville,North Carolina,35.045416,-83.81893149999998,Micro Brewery,(828) 305-7337,nocturnalbrewing.com
5ITsFt,Carolina Brewing Company,Y,Holly Springs,North Carolina,35.6557346,-78.8543188,Micro Brewery,919-557-2337,http://www.carolinabrew.com/
FOC78c,The Unknown Brewing,Y,Charlotte,North Carolina,35.2205488,-80.85835859999997,Micro Brewery,,http://unknownbrewing.com
DyOhRo,Turgua Brewing Co.,Y,Fairview,North Carolina,35.5269891,-82.364124,Micro Brewery,828-222-0984,http://www.turguabrewing.com/
6Twq5r,"Bayne Brewing Company, LLC",Y,Cornelius,North Carolina,35.4800528,-80.8911468,Micro Brewery,(704) 277-7661,http://www.baynebrewingcompany.com/
ST1lih,Raleigh Brewing Company,Y,Raleigh,North Carolina,35.79285820000001,-78.68697879999998,Micro Brewery,919-696-4901,http://www.raleighbrewingcompany.com/
L7OSOj,Tarboro Brewing Company,Y,Tarboro,North Carolina,35.89682360000001,-77.53580490000002,Micro Brewery,,http://tarborobrewingcompany.com/
xR7GYA,Brice's Brewing Company,Y,Raleigh,North Carolina,35.72488660000001,-78.6597022,Micro Brewery,,http://bricesbrewing.com
uvpHuL,Huske Hardware House Restaurant and Brewery,Y,Fayetteville,North Carolina,35.053389,-78.882968,Brewpub,910-437-9905,http://www.huskehardware.com/
C4Ysr2,Vecino Brewing Co.,Y,Carrboro,North Carolina,35.9102223,-79.06837990000002,Micro Brewery,919-904-7273,https://vecinobrewing.com/
4G3hyx,White Labs Kitchen and Taps,Y,Asheville,North Carolina,35.5911759,-82.54893390000002,Micro Brewery,828-974-3880,https://whitelabs.com
0OJXEg,Valley River Brewery & Eatery,Y,Murphy,North Carolina,35.08874,-84.0352909,Micro Brewery,(828) 837-2337,http://valleyriverbreweries.com/
PSSzlD,Old Armor Beer Company,Y,Kannapolis,North Carolina,35.4963174,-80.6259926,Nano Brewery,(704) 933 9203,www.oldarmor.com
rBxNNF,The Duck-Rabbit Craft Brewery,Y,Farmville,North Carolina,35.6004215,-77.5962854,Micro Brewery,252-753-7745,http://www.duckrabbitbrewery.com/
d25euF,Lonerider Brewing Company,Y,Raleigh,North Carolina,35.9036809,-78.7625869,Micro Brewery,919-442-8004,http://www.loneriderbeer.com/
bLbQyH,Deep River Brewing Company,Y,Clayton,North Carolina,35.659335,-78.46686,Micro Brewery,919-368-3424,http://deepriverbrewing.com
DfKF7i,Sub Noir Brewing,Y,Raleigh,North Carolina,35.8087147,-78.6234312,Nano Brewery,919-480-2337,http://subnoir.net/
1BSxpy,Lynnwood Brewing Concern,Y,Raleigh,North Carolina,35.8706178,-78.7174046,Brewpub,919-785-0043,http://www.lynnwoodgrill.com/
7Mnqfp,Armored Cow Brewing Co,Y,Charlotte,North Carolina,35.3091515,-80.7542694,Micro Brewery,(704)-227-6741,www.armoredcowbrewing.com
xc5D82,Mason Jar Lager Company,Y,Fuquay Varina,North Carolina,35.595338,-78.79544709999998,Micro Brewery,(919) 557-5303,
ehcJKn,Gizmo Brew Works,Y,Raleigh,North Carolina,35.8965383,-78.7441045,Micro Brewery,(919) 782-2099,http://gizmobrewworks.com/
KEWA89,Thirsty Souls Community Brewing,Y,Mount Airy,North Carolina,36.5008642,-80.6088192,Micro Brewery,,http://www.facebook.com/thirstysoulsbrewing
RIkcvC,The Mash House Brewery & Chophouse,Y,Fayetteville,North Carolina,35.0706848,-78.954515,Brewpub,910-867-9223,http://www.themashhouse.com/
VnbHp5,Bright Light Brewing Company,Y,Fayetteville,North Carolina,35.0519838,-78.88330520000002,Micro Brewery,(910) 339-0464,http://facebook.com/brightlightbrewing
fSMoAX,Urban Orchard Cider Company,Y,Asheville,North Carolina,35.5794769,-82.574306,Cidery,828-774-5251,http://www.urbanorchardcider.com
avMkil,Coors Brewing Company,Y,Charlotte,North Carolina,35.1847149,-80.8125,Micro Brewery,,http://www.millercoors.com/
